Created On,Change,Transaction Date Format,Supplier Name,Vendor Code,PO Type,PO Line Type,Service Code,Pur Order nos,Pur Order Item Nos,Material,Vendor material Number:,Material Description,Qty,UOM,CustomerLotNumber,Delivery Date,Unit Price,Price Per,Currency,Net Amount,Currency,Payment Terms,Terms of Delivery,Freight Carrier,Planner Line Comments,Item Line Text,Material Text,Bill to,Bill to Address,Ship to,Ship to Address,Ship To Plant,Ship From Plant,Part Number,Lot Qty,Lot Num,Parent Lot,Co-ProductYes/No,Wafer ID,Wafer Lot,Assembly House,Wafer FAB,Wafer REV,Special mark code,Production Order,Fab Site,Assembly Site,Test Site
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406251,10,RC1031ZC.N.A03,RC1031ZC.N.A03,ASSEMBLED DEVICE PI+ZC(7732-C4/LC2844),12,WFR,356880.1,20210622,33000,100,USD,3960,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAQ002X2FCN,12,355463.1,,,,E10443.1,,TOWER,X2,,1444482,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406248,10,RC4041ZA.N.A01,RC4041ZA.N.A01,ASSEMBLED DEVICE  PI+ZA(7732-C4/LC2844),25,WFR,356877.1,20210615,25900,100,USD,6475,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAP004X1FCN,25,356086.1,,,,C99438.1,,TOWER JAZZ TEXAS,X1,,1444479,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406247,10,RC4041ZA.N.A01,RC4041ZA.N.A01,ASSEMBLED DEVICE  PI+ZA(7732-C4/LC2844),23,WFR,356876.1,20210708,25900,100,USD,5957,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAP004X1FCN,23,356082.1,,,,C99418.1,,TOWER JAZZ TEXAS,X1,,1444478,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406246,10,RC4041ZA.N.A01,RC4041ZA.N.A01,ASSEMBLED DEVICE  PI+ZA(7732-C4/LC2844),25,WFR,356875.1,20210615,25900,100,USD,6475,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAP004X1FCN,25,356079.1,,,,C99414.1,,TOWER JAZZ TEXAS,X1,,1444477,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406245,10,RC4041ZA.N.A01,RC4041ZA.N.A01,ASSEMBLED DEVICE  PI+ZA(7732-C4/LC2844),24,WFR,356874.1,20210615,25900,100,USD,6216,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAP004X1FCN,24,355459.1,,,,C99419.1,,TOWER JAZZ TEXAS,X1,,1444476,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406244,10,RC4041ZA.N.A01,RC4041ZA.N.A01,ASSEMBLED DEVICE  PI+ZA(7732-C4/LC2844),24,WFR,356873.1,20210615,25900,100,USD,6216,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAP004X1FCN,24,355465.1,,,,C99413.1,,TOWER JAZZ TEXAS,X1,,1444475,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406243,10,RC4041ZA.N.A01,RC4041ZA.N.A01,ASSEMBLED DEVICE  PI+ZA(7732-C4/LC2844),25,WFR,356872.1,20210615,25900,100,USD,6475,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAP004X1FCN,25,355462.1,,,,C98911.1,,TOWER JAZZ TEXAS,X1,,1444474,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406242,10,RC2581ZC.N.A01,RC2581ZC.N.A01,ASSEMBLED DEVICE,18,WFR,356871.1,20210615,33000,100,USD,5940,USD,N300,,,"#1,3,4,5,6,7,8,9,10,12,14,16,18,19,20,21,22,23 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,SPP21055R1FCN,18,356327.1,,,,X2015500,,ASMC_FAB3,R1,,1444473,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406237,10,UC0831ZV.N.A01,UC0831ZV.N.A01,ASSEMBLED DEVICE PI+ZV(7732-C4/LC2844),19,WFR,356869.1,20210607,22900,100,USD,4351,USD,N300,,,"#4,5,6,7,8,10,11,12,13,14,15,16,17,19,20,21,22,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,SPR12183R1FCN,19,356400.1,,,,X2193000,,ASMC,R1,,1444467,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406236,10,RC0521Z.N.A10,RC0521Z.N.A10,ASSEMBLED DEVICE,25,WFR,356868.1,20210614,23900,100,USD,5975,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,SPZ21052R1FCN,25,356361.1,,,,X2144300,,ASMC_FAB3,R1,,1444465,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406238,10,UC0831ZV.N.A01,UC0831ZV.N.A01,ASSEMBLED DEVICE PI+ZV(7732-C4/LC2844),25,WFR,356870.1,20210607,22900,100,USD,5725,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,SPR12183R1FCN,25,356403.1,,,,X2193100,,ASMC,R1,,1444468,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406232,10,UC1311ZA.N.A03,UC1311ZA.N.A03,Assembled Device PI+ZB(7732-C4/LC2844),25,WFR,356864.1,20210607,25900,100,USD,6475,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,SPL12172R1FCN,25,356325.1,,,,X2287100,,ASMC,R1,,1444461,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406233,10,UC1311ZA.N.A03,UC1311ZA.N.A03,Assembled Device PI+ZB(7732-C4/LC2844),25,WFR,356865.1,20210607,25900,100,USD,6475,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,SPL12172R1FCN,25,356330.1,,,,X2287200,,ASMC,R1,,1444462,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406235,10,RC0521Z.N.A10,RC0521Z.N.A10,ASSEMBLED DEVICE,25,WFR,356867.1,20210614,23900,100,USD,5975,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,SPZ21052R1FCN,25,356356.1,,,,X2143900,,ASMC_FAB3,R1,,1444464,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406234,10,UC1311ZA.N.A03,UC1311ZA.N.A03,Assembled Device PI+ZB(7732-C4/LC2844),25,WFR,356866.1,20210607,25900,100,USD,6475,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,SPL12172R1FCN,25,356335.1,,,,X2287300,,ASMC,R1,,1444463,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406231,10,UC1311ZA.N.A03,UC1311ZA.N.A03,Assembled Device PI+ZB(7732-C4/LC2844),25,WFR,356863.1,20210607,25900,100,USD,6475,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,SPL12172R1FCN,25,356323.1,,,,X2287000,,ASMC,R1,,1444460,,,
