Created On,Change,Transaction Date Format,Supplier Name,Vendor Code,PO Type,PO Line Type,Service Code,Pur Order nos,Pur Order Item Nos,Material,Vendor material Number:,Material Description,Qty,UOM,CustomerLotNumber,Delivery Date,Unit Price,Price Per,Currency,Net Amount,Currency,Payment Terms,Terms of Delivery,Freight Carrier,Planner Line Comments,Item Line Text,Material Text,Bill to,Bill to Address,Ship to,Ship to Address,Ship To Plant,Ship From Plant,Part Number,Lot Qty,Lot Num,Parent Lot,Co-ProductYes/No,Wafer ID,Wafer Lot,Assembly House,Wafer FAB,Wafer REV,Special mark code,Production Order,Fab Site,Assembly Site,Test Site
05/13/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,TS,4600401590,10,RCLAMP1031ZCTFT.P1,RCLAMP1031ZCTFT.P1,"FAB: TJT, ASSY: HTKS, TEST: HTKS",528180,EA,353243.1,20210518,7,10000,USD,369.726,USD,N300,,,,SLP0603P2X3J MARKETING PN:RCLAMP1031ZCTFT,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,DRC1031ZC.N.A03,132045,345787.1V,345787.1,,22,C98898.1,,TOWER,X2,,1439954,,,
05/13/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,TS,4600401590,10,RCLAMP1031ZCTFT.P1,RCLAMP1031ZCTFT.P1,"FAB: TJT, ASSY: HTKS, TEST: HTKS",528180,EA,353243.1,20210518,7,10000,USD,369.726,USD,N300,,,,SLP0603P2X3J MARKETING PN:RCLAMP1031ZCTFT,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,DRC1031ZC.N.A03,132045,345787.1W,345787.1,,23,C98898.1,,TOWER,X2,,1439954,,,
05/13/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,TS,4600401590,10,RCLAMP1031ZCTFT.P1,RCLAMP1031ZCTFT.P1,"FAB: TJT, ASSY: HTKS, TEST: HTKS",528180,EA,353243.1,20210518,7,10000,USD,369.726,USD,N300,,,,SLP0603P2X3J MARKETING PN:RCLAMP1031ZCTFT,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,DRC1031ZC.N.A03,132045,345787.1X,345787.1,,24,C98898.1,,TOWER,X2,,1439954,,,
05/13/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,TS,4600401590,10,RCLAMP1031ZCTFT.P1,RCLAMP1031ZCTFT.P1,"FAB: TJT, ASSY: HTKS, TEST: HTKS",528180,EA,353243.1,20210518,7,10000,USD,369.726,USD,N300,,,,SLP0603P2X3J MARKETING PN:RCLAMP1031ZCTFT,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,DRC1031ZC.N.A03,132045,345787.1Y,345787.1,,25,C98898.1,,TOWER,X2,,1439954,,,
05/13/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,TS,4600401591,10,RCLAMP1031ZCTFT.P1,RCLAMP1031ZCTFT.P1,"FAB: TJT, ASSY: HTKS, TEST: HTKS",528180,EA,353244.1,20210518,7,10000,USD,369.726,USD,N300,,,,SLP0603P2X3J MARKETING PN:RCLAMP1031ZCTFT,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,DRC1031ZC.N.A03,132045,346853.1P,346853.1,,16,C98908.1,,TOWER,X2,,1439955,,,
05/13/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,TS,4600401591,10,RCLAMP1031ZCTFT.P1,RCLAMP1031ZCTFT.P1,"FAB: TJT, ASSY: HTKS, TEST: HTKS",528180,EA,353244.1,20210518,7,10000,USD,369.726,USD,N300,,,,SLP0603P2X3J MARKETING PN:RCLAMP1031ZCTFT,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,DRC1031ZC.N.A03,132045,346853.1O,346853.1,,15,C98908.1,,TOWER,X2,,1439955,,,
05/13/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,TS,4600401591,10,RCLAMP1031ZCTFT.P1,RCLAMP1031ZCTFT.P1,"FAB: TJT, ASSY: HTKS, TEST: HTKS",528180,EA,353244.1,20210518,7,10000,USD,369.726,USD,N300,,,,SLP0603P2X3J MARKETING PN:RCLAMP1031ZCTFT,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,DRC1031ZC.N.A03,132045,346853.1N,346853.1,,14,C98908.1,,TOWER,X2,,1439955,,,
05/13/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,TS,4600401591,10,RCLAMP1031ZCTFT.P1,RCLAMP1031ZCTFT.P1,"FAB: TJT, ASSY: HTKS, TEST: HTKS",528180,EA,353244.1,20210518,7,10000,USD,369.726,USD,N300,,,,SLP0603P2X3J MARKETING PN:RCLAMP1031ZCTFT,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,DRC1031ZC.N.A03,132045,346853.1M,346853.1,,13,C98908.1,,TOWER,X2,,1439955,,,
05/13/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,TS,4600401593,10,RCLAMP1031ZCTFT.P1,RCLAMP1031ZCTFT.P1,"FAB: TJT, ASSY: HTKS, TEST: HTKS",528180,EA,353246.1,20210518,7,10000,USD,369.726,USD,N300,,,,SLP0603P2X3J MARKETING PN:RCLAMP1031ZCTFT,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,DRC1031ZC.N.A03,132045,346853.1X,346853.1,,24,C98908.1,,TOWER,X2,,1439957,,,
05/13/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,TS,4600401593,10,RCLAMP1031ZCTFT.P1,RCLAMP1031ZCTFT.P1,"FAB: TJT, ASSY: HTKS, TEST: HTKS",528180,EA,353246.1,20210518,7,10000,USD,369.726,USD,N300,,,,SLP0603P2X3J MARKETING PN:RCLAMP1031ZCTFT,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,DRC1031ZC.N.A03,132045,346853.1W,346853.1,,23,C98908.1,,TOWER,X2,,1439957,,,
05/13/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,TS,4600401593,10,RCLAMP1031ZCTFT.P1,RCLAMP1031ZCTFT.P1,"FAB: TJT, ASSY: HTKS, TEST: HTKS",528180,EA,353246.1,20210518,7,10000,USD,369.726,USD,N300,,,,SLP0603P2X3J MARKETING PN:RCLAMP1031ZCTFT,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,DRC1031ZC.N.A03,132045,346853.1V,346853.1,,22,C98908.1,,TOWER,X2,,1439957,,,
05/13/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,TS,4600401593,10,RCLAMP1031ZCTFT.P1,RCLAMP1031ZCTFT.P1,"FAB: TJT, ASSY: HTKS, TEST: HTKS",528180,EA,353246.1,20210518,7,10000,USD,369.726,USD,N300,,,,SLP0603P2X3J MARKETING PN:RCLAMP1031ZCTFT,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,DRC1031ZC.N.A03,132045,346853.1U,346853.1,,21,C98908.1,,TOWER,X2,,1439957,,,
05/13/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,TS,4600401592,10,RCLAMP1031ZCTFT.P1,RCLAMP1031ZCTFT.P1,"FAB: TJT, ASSY: HTKS, TEST: HTKS",528180,EA,353245.1,20210518,7,10000,USD,369.726,USD,N300,,,,SLP0603P2X3J MARKETING PN:RCLAMP1031ZCTFT,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,DRC1031ZC.N.A03,132045,346853.1T,346853.1,,20,C98908.1,,TOWER,X2,,1439956,,,
05/13/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,TS,4600401592,10,RCLAMP1031ZCTFT.P1,RCLAMP1031ZCTFT.P1,"FAB: TJT, ASSY: HTKS, TEST: HTKS",528180,EA,353245.1,20210518,7,10000,USD,369.726,USD,N300,,,,SLP0603P2X3J MARKETING PN:RCLAMP1031ZCTFT,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,DRC1031ZC.N.A03,132045,346853.1S,346853.1,,19,C98908.1,,TOWER,X2,,1439956,,,
05/13/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,TS,4600401592,10,RCLAMP1031ZCTFT.P1,RCLAMP1031ZCTFT.P1,"FAB: TJT, ASSY: HTKS, TEST: HTKS",528180,EA,353245.1,20210518,7,10000,USD,369.726,USD,N300,,,,SLP0603P2X3J MARKETING PN:RCLAMP1031ZCTFT,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,DRC1031ZC.N.A03,132045,346853.1R,346853.1,,18,C98908.1,,TOWER,X2,,1439956,,,
05/13/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,TS,4600401592,10,RCLAMP1031ZCTFT.P1,RCLAMP1031ZCTFT.P1,"FAB: TJT, ASSY: HTKS, TEST: HTKS",528180,EA,353245.1,20210518,7,10000,USD,369.726,USD,N300,,,,SLP0603P2X3J MARKETING PN:RCLAMP1031ZCTFT,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,DRC1031ZC.N.A03,132045,346853.1Q,346853.1,,17,C98908.1,,TOWER,X2,,1439956,,,
